sku,size_code,size,quantity,promotion_code,list_unit_price_ex_gst,discount_ex_gst,unit_price_ex_gst,loaded_landed_cost,product_gross_margin_pct,checkout_route,configuration
FP-103,2KG,2 kg,1000,PACK7,44.47,3112.90,41.36,26.88,35.01,payment confirmation,premium
FP-103,250G,250 g,2500,PACK7,12.30,2152.50,11.44,7.43,35.05,online checkout,standard
FP-103,250G,250 g,2500,PACK7,18.45,3228.75,17.16,11.15,35.02,payment confirmation,premium
FP-103,500G,500 g,2500,PACK7,14.30,2502.50,13.30,8.64,35.03,online checkout,standard
FP-103,500G,500 g,2500,PACK7,21.44,3752.00,19.94,12.96,35.00,payment confirmation,premium
FP-103,1KG,1 kg,2500,PACK7,18.30,3202.50,17.02,11.06,35.01,payment confirmation,standard
FP-103,1KG,1 kg,2500,PACK7,27.45,4803.75,25.53,16.59,35.01,payment confirmation,premium
FP-103,2KG,2 kg,2500,PACK7,22.59,3953.25,21.01,13.65,35.03,payment confirmation,standard
FP-103,2KG,2 kg,2500,PACK7,33.88,5929.00,31.51,20.48,35.00,payment confirmation,premium
FP-103,250G,250 g,5000,PACK7,9.53,3335.50,8.86,5.76,35.01,payment confirmation,standard
FP-103,250G,250 g,5000,PACK7,14.30,5005.00,13.30,8.64,35.03,payment confirmation,premium
FP-103,500G,500 g,5000,PACK7,11.09,3881.50,10.31,6.70,35.04,payment confirmation,standard
FP-103,500G,500 g,5000,PACK7,16.63,5820.50,15.47,10.05,35.02,payment confirmation,premium
FP-103,1KG,1 kg,5000,PACK7,14.20,4970.00,13.21,8.58,35.03,payment confirmation,standard
FP-103,1KG,1 kg,5000,PACK7,21.28,7448.00,19.79,12.86,35.02,payment confirmation,premium
FP-103,2KG,2 kg,5000,PACK7,17.52,6132.00,16.29,10.59,35.01,payment confirmation,standard
FP-103,2KG,2 kg,5000,PACK7,26.27,9194.50,24.43,15.88,35.00,payment confirmation,premium
FP-104,250ML,250 ml,500,PACK7,16.86,590.10,15.68,10.19,35.01,online checkout,standard
FP-104,250ML,250 ml,500,PACK7,25.30,885.50,23.53,15.29,35.02,online checkout,premium
FP-104,500ML,500 ml,500,PACK7,20.57,719.95,19.13,12.43,35.02,online checkout,standard
FP-104,500ML,500 ml,500,PACK7,30.84,1079.40,28.68,18.64,35.01,online checkout,premium
FP-104,1L,1 litre,500,PACK7,25.91,906.85,24.10,15.66,35.01,online checkout,standard
FP-104,1L,1 litre,500,PACK7,38.86,1360.10,36.14,23.49,35.00,online checkout,premium
FP-104,2L,2 litres,500,PACK7,31.88,1115.80,29.65,19.27,35.00,online checkout,standard
FP-104,2L,2 litres,500,PACK7,47.81,1673.35,44.46,28.90,35.00,online checkout,premium
